cluster_id,topic,title,abstract,venue,year
4,Computer Vision & Image Processing,field-lens display: headtracking enables 3d image viewing at any position,"many 3d visualization technologies have been invented, but none ever had a broad success. this paper describes the field lens display for viewing stereoscopic images. on the conventional systems, several viewers can perceive a stereo pair simultaneously and they can move independently without special equipment. however these systems have the defect that it needs the complicated optical system for combining a stereo pair image. to overcome this optical problem, we developed the dual lcd panel using two liquid crystal layers. this display panel enables observers to view full screen high resolution images. in this paper, we describe the method of 3d measuring using a single camera for tracking users' positions and a 3d display system using a field-lens which can display full screen high resolution views. this 3d display can solve the traditional defect that the horizontal resolution of each image is divided in half.",active media technology,2006
2,Machine Learning & Modeling,novelty detection for identifying deterioration in emergency department patients,"this paper presents the preliminary results of an observational study into the use of novelty detection techniques for detecting physiological deterioration in vital-sign data acquired from emergency department (ed) patients. such patients are typically in an acute condition with a significant chance of deteriorating during their stay in hospital. existing methods for monitoring ed patients involve manual ""early warning score"" (ews) systems based on heuristics in which clinicians calculate a score based on the patient vital signs. we investigate automated novelty detection methods to perform ""intelligent"" monitoring of the patient between manual observations, to provide early warning of patient deterioration. analysis of the performance of classification systems for on-line novelty detection is not straightforward. we discuss the obstacles that must be considered when determining the efficacy of on-line classification systems, and propose metrics for evaluating such systems.",intelligent data engineering and automated learning,2011
3,Robotics & Control Systems,"model reference adaptive control using simultaneous probing, estimation, and control","recently the use of a linear periodic controller has been proposed to solve the model reference adaptive control problem. the resulting controller can handle rapid changes in plant parameters, and it can provide nice transient behavior with arbitrarily good steady-state tracking using a control signal which remains modest in size. however, it also has some undesireable features: i) the proposed sampled-data controller achieves good performance by using a small sampling period, which results in large gains and a correspondingly poor noise tolerance, ii) a rapidly varying control signal is used, which may require a fast actuator, and iii) the closer to optimality that we wish to get, the more complex the controller. in this paper, we completely redesign the control law to significantly alleviate these problems; the new design provides better noise performance, especially when the sign of the high frequency gain is known, uses a smoother and smaller control signal, has a fixed complexity, independent of the desired level of performance, and is more intuitively appealing, in that probing, estimation, and control are now carried out in parallel rather than in series.",IEEE Transactions on Automatic Control,2010
4,Computer Vision & Image Processing,high-capacity data hiding in encrypted images using msb prediction,"in the last few years, visual privacy has become a major problem. because of this, encrypted image processing has received a lot of attention within the scientific and business communities. data hiding in encrypted images (dhei) is an effective technique to embed data in the encrypted domain. the owner of an image encrypts it with a secret key and it is still possible to embed additional data without knowing the original content nor the secret key. this secret message can be extracted and the initial image can be recovered in the decoding phase. recently, dhei has become an investigative field, but the proposed methods do not allow a large amount of embedding capacity. in this paper, we present a new method based on the msb (most significant bit) prediction. we suggest to hide one bit per pixel by pre-processing the image to avoid prediction errors and, thereby, to improve the quality of the reconstructed image. we have applied our method to various images and, in every cases, the obtained image is very similar to the original one in terms of psnr or ssim.",international conference on image processing,2016
3,Robotics & Control Systems,time-delayed output feedback bilateral teleoperation with force estimation for $n$ -dof nonlinear manipulators,"this brief presents a novel bilateral teleoperation algorithm for n degree of freedom nonlinear manipulators connected through time delays. central to this approach is the use of second-order sliding mode unknown input observers for estimating the external forces, removing the need for both velocity and force sensors. this leads to a lower-cost hardware setup that provides all of the advantages of a position-force teleoperation algorithm. stability is guaranteed considering the presence of time delays. numerical and experimental results are presented.",IEEE Transactions on Control Systems and Technology,2014
7,Software Engineering & Web Systems,collaboration pattern assistant: an event-driven tool for supporting pattern-based collaborations,"modern enterprises collaborate intensively in order to operate effectively in a convoluted, dynamic business environment. to facilitate collaborations, patterns have been exploited as models for repeatable collaboration processes for recurring high-value collaborative tasks. we present collaboration patterns assistant, a software tool for supporting pattern-based collaboration by exploiting the advantages of event-driven architecture.",distributed event-based systems,2011
2,Machine Learning & Modeling,a note on a value with incomplete communication,"the myerson's models on partial cooperation in cooperative games have been studied extensively by borm, owen, tijs and myerson. hamiache proposes a new solution concept for the case in which the communication relations among players are modelled by means of an undirected graph. in this work, we analize this value making some vagueness clear, generalize this value to other models of partial cooperation emphasizing the differences in the generalization and we include some comparative calculations of this value with the myerson value and the position value.",,2004
2,Machine Learning & Modeling,enhancing disjunctive datalog by constraints,"this paper presents an extension of disjunctive datalog (datalog/sup v,/spl sim//) by integrity constraints. these are of two types: strong, that is, classical integrity constraints and weak, that is, constraints that are satisfied if possible. while strong constraints must be satisfied, weak constraints express desiderata, that is, they may be violated-actually, their semantics tends to minimize the number of violated instances of weak constraints. weak constraints may be ordered according to their importance to express different priority levels. as a result, the proposed language (call it, datalog/sup v,/spl sim/,c/) is well-suited to represent common sense reasoning and knowledge-based problems arising in different areas of computer science such as planning, graph theory optimizations, and abductive reasoning. the formal definition of the language is first given. the declarative semantics of datalog/sup v,/spl sim/,c/ is defined in a general way that allows us to put constraints on top of any existing (model-theoretic) semantics for datalog/sup v,/spl sim// programs. knowledge representation issues are then addressed and the complexity of reasoning on datalog/sup v,/spl sim/,c/ programs is carefully determined. an in-depth discussion on complexity and expressiveness of datalog/sup v,/spl sim/,c/ is finally reported. the discussion contrasts datalog/sup v,/spl sim/,c/ to datalog/sup v,/spl sim// and highlights the significant increase in knowledge modeling ability carried out by constraints.",IEEE Transactions on Knowledge and Data Engineering,2000
8,"Algorithms, Graph Theory & Optimization",optimizing auto-carrier loading,"delivering automobiles, vans, and trucks to auto dealerships is a unique problem among the routing and scheduling problem class. a subproblem is that of loading the vehicles onto an auto-carrier (equipment specially designed for this purpose). allocation of the vehicles to this equipment has typically been done by means of trial and error and heuristic methods. this paper shows how the loading aspect of the delivery problem can be solved using optimizing methods. the approach has the potential of replacing the empirical methods currently used in practice.",Transportation Science,1998
2,Machine Learning & Modeling,joint photo stream and blog post summarization and exploration,"we propose an approach that utilizes large collections of photo streams and blog posts, two of the most prevalent sources of data on the web, for joint story-based summarization and exploration. blogs consist of sequences of images and associated text; they portray events and experiences with concise sentences and representative images. we leverage blogs to help achieve story-based semantic summarization of collections of photo streams. in the opposite direction, blog posts can be enhanced with sets of photo streams by showing interpolations between consecutive images in the blogs. we formulate the problem of joint alignment from blogs to photo streams and photo stream summarization in a unified latent ranking svm framework. we alternate between solving the two coupled latent svm problems, by first fixing the summarization and solving for the alignment from blog images to photo streams and vice versa. on a newly collected large-scale disneyland dataset of 10k blogs (120k associated images) and 6k photo streams (540k images), we demonstrate that blog posts and photo streams are mutually beneficial for summarization, exploration, semantic knowledge transfer, and photo interpolation.",computer vision and pattern recognition,2015
6,Signal Processing & Communications,capacity of sparsewideband channels with limited feedback,"recent results in the wideband/low-snr regime show that even one bit of perfect feedback is sufficient to achieve the same rate of capacity scaling as in the benchmark case of perfect csi at the transmitter. however, the capacity achieving signals are peaky in the non-coherent scenario when csi is estimated at the receiver. signal peakiness is related to channel coherence and recent measurement campaigns show that, in contrast to previous assumptions, wideband channels exhibit a sparse multipath structure that naturally leads to coherence in time and frequency. with perfect receiver csi, we show that limited feedback, even with an instantaneous power constraint, is sufficient to achieve the benchmark capacity in sparse multipath channels. our analysis reveals the benefits of channel sparsity in the non-coherent scenario, where we employ a training-based signaling scheme. with an average power constraint, it is shown that the benchmark is achievable, provided the channel coherence scales at a sufficiently fast rate with signal space dimension. furthermore, in contrast to peaky signaling schemes that violate instantaneous power constraints, we show that the benchmark is attainable in sparse channels even with finite instantaneous transmit power. we present rules of thumb on choosing the signaling parameters as a function of the channel parameters so that the full benefits of sparsity can be realized.",international symposium on information theory,2008
7,Software Engineering & Web Systems,home bias effect in the management literature,"this paper examines the possible home bias in the citation of the 300 most-cited articles in selected management journals between 2005 and 2009. the management journals chosen for the study were the ten with the greatest average impact over the last 5 years. the theoretical framework was built on: the theory of asymmetric information furnished by financial economics; contributions in the bibliometric field which indicate geographical bias in the scientific community's citation patterns, and the notion of paradigm, employed in the sociology of science field. the data from the sample provide empirical evidence of a home bias in the citation pattern of the papers analysed. here, home bias is defined as the positive difference between the percentage of a country's self-citations minus the average number of citations of the same nation's work by the remaining countries surveyed.",Scientometrics,2013
2,Machine Learning & Modeling,time-domain auditory processing of speech,"abstract   this paper reviews evidence for central processing of temporal patterns, describes a number of models that perform useful functions on the basis of temporal processing, and aims to offer insight into mechanisms and constraints, in particular with respect to temporal resolution. the focus is on the region of short duration where temporal descriptions overlap with spectral descriptions. time-domain cues are used by the listener to parse the auditory scene and assign the relevant fragments to one speaker among several. the cues include interaural delays (that vary according to source position), periodicity (of voiced speech) and envelope modulations such as onsets. temporal cues may also determine attributes such as pitch (intonation) and timbre (of vowels or consonants), that are often described in terms of spectral cues. spectrum and time are closely linked. with a frequency-selective cochlea, the ear is equipped to analyze spectra, but from physiology we know that the temporal counterpart of spectral patterns is also present in the auditory nerve. temporal accuracy decreases as patterns proceed towards the cortex, but precise patterns have been measured at several levels, and there is abundant evidence for neural “circuitry” specialized for time analysis. several models implement useful functions on the basis of temporal processing. pitch may be explained on the basis of interval statistics between nerve firings (although consensus on this explanation is not complete), and similar models exist for vowel timbre identification. segregation of competing voices may be explained by models that use time to either label frequency channels (created in the cochlea) as belonging to one voice or another, or to tease apart information within each channel. an important aspect of these models is that they defer to the central nervous system operations that are often thought to occur at the periphery. if this account is correct, frequency and temporal resolution are not entirely determined by properties of the cochlea.",Journal of Phonetics,2003
2,Machine Learning & Modeling,oscillation of a forced super-linear second order differential equation with impulses,"some oscillation criteria are established for a forced super-linear second order differential equation with impulses. those results extend some well-known results for the equation without impulses, which are different from most existing ones in that they are based only on information on a sequence of subintervals of [t""0,~), rather than on the whole half-linear interval.",Computers & Mathematics With Applications,2007
1,Data Mining & Databases,a method to constrain genome-scale models with 13c labeling data.,"current limitations in quantitatively predicting biological behavior hinder our efforts to engineer biological systems to produce biofuels and other desired chemicals. here, we present a new method for calculating metabolic fluxes, key targets in metabolic engineering, that incorporates data from 13c labeling experiments and genome-scale models. the data from 13c labeling experiments provide strong flux constraints that eliminate the need to assume an evolutionary optimization principle such as the growth rate optimization assumption used in flux balance analysis (fba). this effective constraining is achieved by making the simple but biologically relevant assumption that flux flows from core to peripheral metabolism and does not flow back. the new method is significantly more robust than fba with respect to errors in genome-scale model reconstruction. furthermore, it can provide a comprehensive picture of metabolite balancing and predictions for unmeasured extracellular fluxes as constrained by 13c labeling data. a comparison shows that the results of this new method are similar to those found through 13c metabolic flux analysis (13c mfa) for central carbon metabolism but, additionally, it provides flux estimates for peripheral metabolism. the extra validation gained by matching 48 relative labeling measurements is used to identify where and why several existing constraint based reconstruction and analysis (cobra) flux prediction algorithms fail. we demonstrate how to use this knowledge to refine these methods and improve their predictive capabilities. this method provides a reliable base upon which to improve the design of biological systems.",PLOS Computational Biology,2015
7,Software Engineering & Web Systems,professional analysts and the ongoing construction of it governance,"this article addresses the role of the professional analysts as actors within the field of it governance. through a content analysis of over 400 reports from the largest commercial research firm, instances of normative statements are identified and analyzed. with the intended target group of the reports being chief information officers, the findings show that the content of it governance has changed during the last three years. this is discussed in relation to the role that professional analysts play in an ongoing construction of it governance. the article concludes by identifying possible risks and benefits involved in using professional analysts as sources for best-practice, as well as calling for a more practice-based definition of it governance.",International Journal on It\/business Alignment and Governance,2010
1,Data Mining & Databases,discovering best teams for data leak-aware crowdsourcing in social networks,"crowdsourcing is emerging as a powerful paradigm to help perform a wide range of tedious tasks in various enterprise applications. as such applications become more complex, crowdsourcing systems often require the collaboration of several experts connected through professional/social networks and organized in various teams. for instance, a well-known car manufacturer asked fans to contribute ideas for the kinds of technologies that should be incorporated into one of its cars. for that purpose, fans needed to collaborate and form teams competing with each others to come up with the best ideas. however, once teams are formed, each one would like to provide the best solution and treat that solution as a “trade secret,” hence preventing any data leak to its competitors (i.e., the other teams). in this article, we propose a data leak--aware crowdsourcing system called  socialcrowd . we introduce a clustering algorithm that uses social relationships between crowd workers to discover all possible teams while avoiding interteam data leakage. we also define a ranking mechanism to select the “best” team configurations. our mechanism is based on the semiring approach defined in the area of soft constraints programming. finally, we present experiments to assess the efficiency of the proposed approach.",ACM Transactions on The Web,2016
7,Software Engineering & Web Systems,technological foundations of electronic governance,"this paper explores the relevance and opportunities for the application of mature formal techniques - techniques based on mathematical theories and supported by industry-ready tools and methods - to build technical solutions for electronic governance. the paper proceeds in four steps: (1) establishes the basic need for formal techniques in electronic governance, (2) identifies the challenges peculiar to electronic governance development, (3) presents the salient features and various application scenarios for formal techniques in general, and (4) carries out a mapping between the challenges to electronic governance and various application scenarios of formal techniques as part of solutions to such challenges. in the second part, the paper presents an overview of the tutorial and workshop on formal engineering methods for electronic governance. the tutorial follows the fourstep program, as above, and the workshop includes the presentations of four papers that exemplify various elements of the mapping, particularly: the use of formal, precise modeling techniques; the importance of security risk assessment; modeldriven development of software systems; and the provision of semantic frameworks to coordinate development within and across major programs and initiatives. in the last part, the paper discusses how formal techniques can contribute to establishing a solid foundation for electronic governance.",,2007
2,Machine Learning & Modeling,high performance computational systems biology,"this paper includes a selection of papers presented at the second international workshop on high performance computational systems biology (hibi 2010), which was colocated with the joint icgt/spin conference, that was held at the university of twente, enschede, the netherlands, on 27-29 september 2010. the selected papers cover a broad range of bioinformatics topics, including medical imaging, markov clustering, simulation, model checking, and gene networks.",IEEE/ACM Transactions on Computational Biology and Bioinformatics,2012
1,Data Mining & Databases,denpehc: density peak based efficient hierarchical clustering,"existing hierarchical clustering algorithms involve a flat clustering component and an additional agglomerative or divisive procedure. this paper presents a density peak based hierarchical clustering method (denpehc), which directly generates clusters on each possible clustering layer, and introduces a grid granulation framework to enable denpehc to cluster large-scale and high-dimensional (lshd) datasets. this study consists of three parts: (1) utilizing the distribution of the parameter  γ , which is defined as the product of the local density  ρ  and the minimal distance to data points with higher density  δ  in “clustering by fast search and find of density peaks” (dpclust), and a linear fitting approach to select clustering centers with the clustering hierarchy decided by finding the “stairs” in the  γ  curve; (2) analyzing the leading tree (in which each node except the root is led by its parent to join the same cluster) as an intermediate result of dpclust, and constructing the clustering hierarchy efficiently based on the tree; and (3) designing a framework to enable denpehc to cluster lshd datasets when a large number of attributes can be grouped by their semantics. the proposed method builds the clustering hierarchy by simply disconnecting the center points from their parents with a linear computational complexity  o ( m ), where  m  is the number of clusters. experiments on synthetic and real datasets show that the proposed method has promising efficiency, accuracy and robustness compared to state-of-the-art methods.",Information Sciences,2016
8,"Algorithms, Graph Theory & Optimization",scheduling data flow program in xkaapi: a new affinity based algorithm for heterogeneous architectures,"efficient implementations of parallel applications on heterogeneous hybrid architectures require a careful balance between computations and communications with accelerator devices. even if most of the communication time can be overlapped by computations, it is essential to reduce the total volume of communicated data. the literature therefore abounds with ad-hoc methods to reach that balance, but that are architecture and application dependent. we propose here a generic mechanism to automatically optimize the scheduling between cpus and gpus, and compare two strategies within this mechanism: the classical heterogeneous earliest finish time (heft) algorithm and our new, parametrized, distributed affinity dual approximation algorithm (dada), which consists in grouping the tasks by affinity before running a fast dual approximation. we ran experiments on a heterogeneous parallel machine with six cpu cores and eight nvidia fermi gpus. three standard dense linear algebra kernels from the plasma library have been ported on top of the xkaapi runtime. we report their performances. it results that heft and dada perform well for various experimental conditions, but that dada performs better for larger systems and number of gpus, and, in most cases, generates much lower data transfers than heft to achieve the same performance.",european conference on parallel processing,2014
8,"Algorithms, Graph Theory & Optimization",a hybrid dynamic programming approach to the biobjective binary knapsack problem,"this article is devoted to a study of the impact of using bound sets in biobjective dynamic programming. this notion, introduced by villareal and karwan [1981], has been independently revisited by ehrgott and gandibleux [2007], as well as by sourd and spanjaard [2008]. the idea behind it is very general and can, therefore, be adapted to a wide range of biobjective combinatorial problems. we focus here on the biobjective binary knapsack problem. we show that using bound sets to perform a hybrid dynamic programming procedure embedded in a two-phase method [ulungu and teghem 1995] yields numerical results that outperform previous dynamic programming approaches to the problem, both in execution times and memory requirements.",ACM Journal of Experimental Algorithms,2013
7,Software Engineering & Web Systems,using a stack decoder for structured search,"we describe a novel and flexible method that translates free-text queries to structured queries for filling out web forms. this can benefit searching in web databases which only allow access to their information through complex web forms. we introduce boosting and discounting heuristics, and use the constraints imposed by a web form to find a solution both efficiently and effectively. our method is more efficient and shows improved performance over a baseline system.",flexible query answering systems,2013
2,Machine Learning & Modeling,tandem-x dem calibration and processing experiments with e-sar,"the tandem-x mission has the goal to deliver a digital elevation model (dem) that fulfils hrti-3 quality requirements on a global scale. the interferometric height is determined by the phase difference between the two acquired images and the spatial geometry. baseline errors intrinsic of the bi-static sar configuration combined with errors and drifts of the radar instrument introduce phase inaccuracies in the interferogram. therefore, an accurate calibration of the interferometric system parameters and independent height references are required. in order to validate the dem calibration concept with real interferometric data, a measurement campaign was carried out with the experimental airborne radar system (e-sar) of the german aerospace center (dlr) in oberpfaffenhofen. this paper will present some of the various results from these interferometric experiments, stressing on the quality assessment of the icesat glas14 elevation data, which will be a key aspect in a successful tandem-x dem generation.",international geoscience and remote sensing symposium,2008
6,Signal Processing & Communications,efficient algorithm for optimal power allocation in ofdm transmission with relaying,"in this paper we consider an ofdm (orthogonal frequency division multiplexing) transmission scheme with a relay, working in decode-and-forward (df) mode. assuming perfect csi (channel state information) the paper investigates the power allocation problem for rate maximization of the scheme with individual power constraints at the source and at the relay. the theoretical analysis provides a deep understanding of the structure of the solution. based on this, an efficient iterative algorithm is proposed that exhibits a quicker convergence than classical methods. in addition, it enables to solve the convergence issues observed in some situations.","international conference on acoustics, speech, and signal processing",2008
6,Signal Processing & Communications,contractive interference functions and rates of convergence of distributed power control laws,"the standard interference functions introduced by yates have been very influential on the analysis and design of distributed power control laws. while powerful and versatile, the framework has some drawbacks: the existence of fixed-points has to be established separately, and no guarantees are given on the rate of convergence of the iterates. this paper introduces contractive interference functions, a slight reformulation of the standard interference functions that guarantees the existence and uniqueness of fixed-points along with linear convergence of iterates. we show that many power control laws from the literature are contractive and derive, sometimes for the first time, analytical convergence rate estimates for these algorithms. we also prove that contractive interference functions converge when executed totally asynchronously and, under the assumption that the communication delay is bounded, derive an explicit bound on the convergence time penalty due to increased delay. finally, we demonstrate that although standard interference functions are, in general, not contractive, they are all para-contractions with respect to a certain metric. similar results for two-sided scalable interference functions are also derived.",IEEE Transactions on Wireless Communications,2012
0,Networking & Wireless Communication,"optimized battery models observations for static, distance vector and on-demand based routing protocols over 802.11 enabled wireless sensor networks","we analyze a wireless sensor network system to address the impact of different battery models on five routing protocols. we present an analytical model to understand the key performance metrics like average jitter, first and last packet received, total bytes received, average end to end delay, throughput and energy consumption. we have proposed the various parameters of our model for static, distance vector and on demand based routing protocols along with linear and service life estimator battery model. the validation of proposed parameters through simulation and derive substantial investigations in wireless sensor network system.",Wireless Personal Communications,2015
8,"Algorithms, Graph Theory & Optimization",c-norta: a rejection procedure for sampling from the tail of bivariate norta distributions,"we propose c-norta, an exact algorithm to generate random variates from the tail of a bivariate norta random vector. (a norta random vector is specified by a pair of marginals and a rank or product--moment correlation, and it is sampled using the popular normal-to-anything procedure.) we first demonstrate that a rejection-based adaptation of norta on such constrained random vector generation problems may often be fundamentally intractable. we then develop the c-norta algorithm, relying on strategic conditioning of the norta vector, followed by efficient approximation and acceptance/rejection steps. we show that, in a certain precise asymptotic sense, the sampling efficiency of c-norta is exponentially larger than what is achievable through a naive application of norta. furthermore, for at least a certain class of problems, we show that the acceptance probability within c-norta decays only linearly with respect to a defined rarity parameter. the corresponding decay rate achievable through a naive adaptation of norta is exponential. we provide directives for efficient implementation.",Informs Journal on Computing,2012
8,"Algorithms, Graph Theory & Optimization",efficient construction of multibit tries for ip lookup,"srinivasan and varghese (see acm trans. comput. syst., p.1-40, 1999) have proposed the use of multibit tries to represent routing tables used for internet (ip) address lookups. they propose dynamic programming algorithms to determine the strides of optimal multibit fixed-stride and variable-stride tries. we improve on these algorithms by providing alternative dynamic programming formulations for both fixed- and variable-stride tries. while the asymptotic complexities of our algorithms are the same as those for the corresponding algorithms of srinivasan and varghese, experiments using real ipv4 routing table data indicate that our algorithms run considerably faster. our fixed-stride trie algorithm is two to four times faster on a sun workstation and 1.5 to three times faster on a pentium iv pc. on a sun workstation, our variable-stride trie algorithm is between two and 17 times faster than the corresponding algorithm of srinivasan and varghese; on a pentium iv pc, our algorithm is between three and 47 times faster. an added feature of our variable-stride trie algorithm is the ability to insert and delete prefixes taking a fraction of the time needed to construct an optimal variable-stride trie ""from scratch"".",IEEE\/ACM Transactions on Networking,2003
1,Data Mining & Databases,graphical perception of value distributions : an evaluation of non-expert viewers’ data literacy,"an ability to understand the outputs of data analysis is a key characteristic of data literacy and the inclusion of data visualisations is ubiquitous in the output of modern data analysis. several aspects still remain unresolved, however, on the question of choosing data visualisations that lead viewers to an optimal interpretation of data. this is especially true when audiences have differing degrees of data literacy. in this paper we describe two user studies on perception from data visualisations, in which we measured the ability of participants to validate statements about the distributions of data samples visualised using different chart types. in the first user study, we find that histograms are the most suitable chart type for illustrating the distribution of values for a variable. we contrast our findings with previous research in the field, and posit three main issues identified from the study. most notably, however, we show that viewers struggle to identify scenarios in which a chart simply does not contain enough information to validate a statement about the data that it represents. in the follow-up study, we ask viewers questions about quantification of frequencies, and identification of most frequent values from different types of histograms and density traces showing one or two distributions of values. this study reveals that viewers do better with histograms when they need to quantify the values displayed in a chart. among the different types of histograms, interspersing the bars of two distributions in a histogram leads to the most accurate perception. even though interspersing bars makes them thinner, the advantage of having both distributions clearly visible pays off. the findings of these user studies provide insight to assist designers in creating optimal charts that enable comparison of distributions, and emphasise the importance of using an understanding of the limits of viewers’ data literacy to design charts effectively.",,2016
6,Signal Processing & Communications,high-resolution estimation for time-variant mimo channel sounding,"a wideband vector channel sounder with 16 parallel rf chains is proposed for parameter estimation in an indoor channel. low-cost and high-resolution are obtained by using a chirp probe signal, five-port receivers and the music algorithm. the system covers up to 500 mhz centred at 2.45 ghz. experimental results show errors inferior to 1 ns in the time domain and of few degrees in the angular domain. accurate results are found in static as well as in time-variant scenarios.",,2008
0,Networking & Wireless Communication,link layer modeling of bio-inspired communication in nanonetworks,"bio-inspired packet communication over a link between two nanogateways is considered. in the envisioned nanonetwork architecture, bacteria are employed as transporters of information packets between gateways and therefore, the link layer model must take into account the behavior of these transporters. with the unique features of this mode of communication integrated into a simulation software, single-hop delay and throughput performance measures are analyzed. the effects on performance of traffic generation intensity, source–destination separation distance, propagation time variability, packet lifetime, and the number of bacteria that can be processed concurrently at the nanogateway are presented. the primary contribution of this study is an assessment of the effects of congestion in nanonetworks through consideration of competition among bacteria for conjugation at a nanogateway.",Nano Communication Networks,2011
7,Software Engineering & Web Systems,identifying web search session patterns using cluster analysis: a comparison of three search environments,"session characteristics taken from large transaction logs of three web search environments (academic web site, public search engine, consumer health information portal) were modeled using cluster analysis to determine if coherent session groups emerged for each environment and whether the types of session groups are similar across the three environments. the analysis revealed three distinct clusters of session behaviors common to each environment: “hit and run” sessions on focused topics, relatively brief sessions on popular topics, and sustained sessions using obscure terms with greater query modification. the findings also revealed shifts in session characteristics over time for one of the datasets, away from “hit and run” sessions toward more popular search topics. a better understanding of session characteristics can help system designers to develop more responsive systems to support search features that cater to identifiable groups of searchers based on their search behaviors. for example, the system may identify struggling searchers based on session behaviors that match those identified in the current study to provide context sensitive help. © 2009 wiley periodicals, inc.",Journal of the Association for Information Science and Technology,2009
7,Software Engineering & Web Systems,system architecture for c2c communications based on mobile wimax,"in this paper we considered a wimax-based system archi- tecture for car to car (c2c) communications. the aim is to design an intelligent wireless traffic service platform which allows car to car and car to transceiver stations communications. conventional wimax sys- tem was analysed as a basic platform due to its support for robust secu- rity and for mobility. however, we found some problems with the system for supporting c2c communications. as a solution, an optimized c2c communication mechanism with neighbor detection and optimum route decision module was proposed. this module uses available information in the neighborhood and adds no extra cost of traffic.","modelling, computation and optimization in information systems and management sciences",2008
2,Machine Learning & Modeling,a 3d sound using the adaptive head model and measured pinna data,"in conventional 3d sound there are two disciplines: measurement and model approaches of the head related transfer function. in general the measurement approach can provide more precise sound localization but is dependent on the subject. the model approach can employ a subject-independent characteristic but has little degradation of location perception. we proposed a hybrid approach that includes the adaptive head model and measured pinna data. the head model is constructed by four quarter-ellipsoids that can adapt to different users by changing five parameters. the measurement results of sound propagation in a pinna are also found. to generate 3d sound, the head model produces two outputs with interaural time and level differences, which are convoluted by the measured responses of two pinnae according to a sound location. in the experiments using our approach, 3d sounds are effectively generated to meet different listeners with precise location perception.",international conference on multimedia and expo,2000
2,Machine Learning & Modeling,monitoring of time‐between‐events with a generalized group runs control chart,"control charting methods for time between events (tbe) is important in both manufacturing and nonmanufacturing fields. with the aim to enhance the speed for detecting shifts in the mean tbe, this paper proposes a generalized group runs tbe chart to monitor the mean tbe of a homogenous poisson failure process. the proposed chart combines a tbe subchart and a generalized group conforming run length subchart. the zero-state and steady-state performances of the proposed chart were evaluated by applying a markov chain method. overall, it is found that the proposed chart outperforms the existing tbe charts, such as the t, tr, ewma-t, synth-tr, and gr-tr charts. copyright © 2015 john wiley & sons, ltd.",Quality and Reliability Engineering International,2016
7,Software Engineering & Web Systems,a requirements-led approach for specifying qos-aware service choreographies: an experience report,"[context and motivation] choreographies are a form of service composition in which partner services interact in a global scenario without a single point of control. the absence of an explicitly specified orchestration requires changes to requirements practices to recognize the need to optimize software services choreography and monitoring for satisfaction with system requirements. [question/problem] we developed a requirements-led approach that aims to provide tools and processes to transform requirements expressed on service-based systems to qos-aware choreography specifications. [principal ideas/results] the approach is used by domain experts to specify natural language requirements on a service-based system, and by choreography designers to adapt their models to satisfy requirements more effectively. non-functional requirements are mapped to bpmn choreography diagrams as quality properties, using the q4bpmn notation, that support analysis and monitoring facilities. [contribution] we report the new integrated approach and provide lessons learned from applying it to a real-world example of dynamic taxi management.",requirements engineering foundation for software quality,2014
2,Machine Learning & Modeling,error model free automatic design error correction of complex processors using formal methods,"this paper presents a method for automatic diagnosis and correction of design bugs in processors. given a golden sequential instruction-set architecture model of a processor and its erroneous detailed cycle-accurate model at micro-architecture level, we employ a symbolic simulator and a property checker in an iterative process to formally find the candidate buggy locations and their corresponding fixes, without requiring an error model. we have shown the effectiveness of our method on a complex out-of-order super scalar processors supporting atomic execution.",asian test symposium,2012
2,Machine Learning & Modeling,modeling social annotations via latent reason identification,the probabilistic tag allocation model (tam) explains social tags by modeling the latent reasoning behind each tag in order to disambiguate them and identify noise.,IEEE Intelligent Systems,2010
7,Software Engineering & Web Systems,intelligent collaborative information retrieval,"the next generation of intelligent information systems will rely on cooperative agents for playing a fundamental role in actively searching and finding relevant information on behalf of their users in complex and open environments, such as the internet. on the other hand, the relevance of such information is a user-dependent notion within the scope or context of a particular domain or topic. previous work, mainly in information retrieval (ir), focuses on the analysis of the content by the means of keyword-based metrics. some recent algorithms apply social or collaborative information filtering to improve the task of retrieving relevant information and for refining each agent's particular knowledge. in this paper, we combine both approaches developing a new content-based filtering technique for learning up-to-date users' profiles that serves as basis for a novel collaborative information-filtering algorithm. we demonstrate our approach through a system called raap (research assistant agent project) devoted to support collaborative research by classifying domain specific information, retrieved from the web, and recommending these ""bookmarks"" to other researchers with similar interests.",Lecture Notes in Computer Science,1998
